movie_title;release_month;release_year;genre;total_gross;inflation_adjusted_gross
Lilo & Stitch;June;2002;Adventure;145771527;211506702
The Country Bears;July;2002;Adventure;16988996;24650121
Tuck Everlasting;October;2002;Drama;19161999;27789959
Signs;August;2002;Thriller/Suspense;227965690;330754439
Beauty and the Beast (IMAX);January ;2002;Musical;25487028;36980311
Bad Company;June;2002;Action;30157016;43756218
The Hot Chick;December;2002;Comedy;35081550;50624654
Treasure Planet;November;2002;Adventure;38120554;55189145
ESPN's Ultimate X - The Movie;May;2002;Documentary;4197175;6089874
Reign of Fire;February;2002;Action;43061982;62480631
Peter Pan: Return to Neverland;February;2002;Adventure;48430258;70269715
The Count of Monte Cristo;January ;2002;Drama;54228104;78682079
Moonlight Mile;September;2002;Drama;6830957;9909094
Big Trouble;April;2002;Comedy;7262288;10537188
The Rookie;March;2002;Drama;75600072;109691666
Snow Dogs;January ;2002;Comedy;81150692;117745317
Veronica Guerin;October;2003;Drama;1569918;2194759
Freaky Friday;August;2003;Comedy;110222438;154090360
Bringing Down the House;March;2003;Comedy;132675402;185481530
Ghosts of the Abyss;April;2003;Documentary;17093668;23803108
Cold Creek Manor;September;2003;Thriller/Suspense;21384035;29895090
Piglet's Big Movie;March;2003;Comedy;23103423;32298812
Pirates of the Caribbean: The Curse o…;July;2003;Adventure;305411224;426967926
Calendar Girls;December;2003;Comedy;31011616;42379650
Finding Nemo;May;2003;Adventure;380529370;518148559
The Lizzie McGuire Movie;May;2003;Comedy;42734455;59743191
Under the Tuscan Sun;September;2003;Comedy;43601508;60944053
The Jungle Book 2;February;2003;Adventure;47901582;66966883
The Recruit;January ;2003;Thriller/Suspense;52784696;73793522
Open Range;August;2003;Western;58331254;81547672
Young Black Stallion;December;2003;Adventure;6751389;9254344
Shanghai Knights;February;2003;Adventure;60470220;84537962
Holes;April;2003;Drama;67383924;94203395
The Haunted Mansion;November;2003;Comedy;75817994;105775678
Brother Bear;October;2003;Adventure;85336277;119218333
America's Heart and Soul;July;2004;Documentary;314;426246
The Last Shot;September;2004;Comedy;46373;629502
The Village;July;2004;Thriller/Suspense;114197520;155021748
National Treasure;November;2004;Adventure;173005002;234069353
Mr. 3000;September;2004;Comedy;21800302;29593641
The Alamo;April;2004;Western;22406362;30416359
Around the World in 80 Days;June;2004;Adventure;24004159;32585356
The Life Aquatic with Steve Zissou;December;2004;Comedy;24006726;32198655
The Incredibles;November;2004;Adventure;261441092;354488708
Confessions of a Teenage Drama Queen;February;2004;Comedy;29331068;39816568
Raising Helen;May;2004;Comedy;37485528;50886144
The Ladykillers;March;2004;Comedy;39692139;53881593
Home on the Range;April;2004;Comedy;50026353;67910166
King Arthur;July;2004;Adventure;51877963;70423706
Teacher's Pet: The Movie;January ;2004;Comedy;6491969;8812764
Miracle;February;2004;Drama;64378093;87392478
Hidalgo;March;2004;Western;67286731;91340921
Ladder 49;October;2004;Action;74541707;101161045
The Princess Diaries 2: Royal Engagement;August;2004;Romantic Comedy;95149435;129164207
Shopgirl;October;2005;Drama;10284523;13519621
Casanova;December;2005;Drama;11304403;14574087
The Pacifier;March;2005;Comedy;113006880;148619029
Chicken Little;November;2005;Adventure;135386665;177954661
The Greatest Game Ever Played;September;2005;Drama;15331289;20162672
Pooh's Heffalump Movie;February;2005;Adventure;18098433;23801835
Valiant;August;2005;Adventure;19478106;25616292
A Lot Like Love;April;2005;Comedy;21835784;28716947
Ice Princess;March;2005;Comedy;24381334;32064685
Dark Water;July;2005;Thriller/Suspense;25473093;33500491
The Chronicles of Narnia: The Lion t…;December;2005;Adventure;291710957;381557539
Hauru no ugoku shiro;June;2005;Adventure;4710455;6194870
The Hitchhiker's Guide to the Galaxy;April;2005;Comedy;51019112;67096891
Sky High;July;2005;Adventure;63939454;84088854
Herbie: Fully Loaded;June;2005;Comedy;66010682;86812798
Aliens of the Deep;January ;2005;Documentary;8968684;11740942
Flightplan;September;2005;Thriller/Suspense;89706988;117960425
Roving Mars;January ;2006;Documentary;10407978;12948025
Annapolis;January ;2006;Drama;17127992;22044113
Stay Alive;March;2006;Horror;23086480;29712825
Tim Burton's The Nightmare Before Chr…;October;2006;Musical;24732041;30737517
Cars;June;2006;Comedy;244082982;314140384
Stick It;April;2006;Comedy;26910736;34634731
The Wild;April;2006;Adventure;37384046;48114115
Goal! The Dream Begins;May;2006;Drama;4283255;5512647
Glory Road;January ;2006;Drama;42647449;54888236
Pirates of the Caribbean: Dead Man’…;July;2006;Adventure;423315812;544817142
Apocalypto;December;2006;Adventure;50866635;64959548
The Prestige;October;2006;Thriller/Suspense;53089891;68289913
The Guardian;September;2006;Action;55011732;70801353
Invincible;August;2006;Drama;57806952;74398864
The Shaggy Dog;March;2006;Comedy;61123569;78667428
Déjà Vu;November;2006;Thriller/Suspense;64038616;82267038
Step Up;August;2006;Drama;65328121;84078780
Eight Below;February;2006;Adventure;81612565;105037235
The Santa Clause 3: The Escape Clause;November;2006;Comedy;84500122;108694869
Primeval;January ;2007;Adventure;10597734;12985302
Enchanted;November;2007;Romantic Comedy;127706877;156074310
Wild Hogs;March;2007;Comedy;168213584;206110533
The Invisible;April;2007;Thriller/Suspense;20568319;25202168
Ratatouille;June;2007;Comedy;206445654;252955933
National Treasure 2: Book of Secrets;December;2007;Adventure;219961501;267003525
Pirates of the Caribbean: At World’…;May;2007;Adventure;309420425;379129960
